epo: 237, rat: 1.00e-02, err: 6.72e-01, obj: 1.11e+00, dat: 1.52e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.08e-04
epo: 243, rat: 1.00e-02, err: 6.95e-01, obj: 1.15e+00, dat: 1.81e-02, fpp: 4.16e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 249, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 1.75e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.09e-04
epo: 255, rat: 1.00e-02, err: 6.41e-01, obj: 1.10e+00, dat: 1.73e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.01e-04
epo: 261, rat: 1.00e-02, err: 6.41e-01, obj: 1.12e+00, dat: 1.91e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 268, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 7.03e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.07e-04
epo: 274, rat: 1.00e-02, err: 6.95e-01, obj: 1.13e+00, dat: 1.79e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.03e-04
epo: 280, rat: 1.00e-02, err: 7.11e-01, obj: 1.12e+00, dat: 1.94e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.03e-04
epo: 286, rat: 1.00e-02, err: 6.17e-01, obj: 1.11e+00, dat: 1.56e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.14e-04
epo: 292, rat: 1.00e-02, err: 7.11e-01, obj: 1.14e+00, dat: 2.00e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.05e-04
epo: 299, rat: 1.00e-02, err: 6.56e-01, obj: 1.11e+00, dat: 1.78e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.11e-04
epo: 305, rat: 1.00e-02, err: 6.41e-01, obj: 1.10e+00, dat: 1.76e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 311, rat: 1.00e-02, err: 6.41e-01, obj: 1.09e+00, dat: 1.77e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.02e-04
epo: 317, rat: 1.00e-02, err: 7.66e-01, obj: 1.15e+00, dat: 1.83e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 323, rat: 1.00e-02, err: 6.64e-01, obj: 1.12e+00, dat: 1.56e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 330, rat: 1.00e-02, err: 6.25e-01, obj: 1.11e+00, dat: 1.77e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.13e-04
epo: 336, rat: 1.00e-02, err: 6.09e-01, obj: 1.09e+00, dat: 1.61e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.06e-04
epo: 342, rat: 1.00e-02, err: 7.11e-01, obj: 1.13e+00, dat: 2.12e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 348, rat: 1.00e-02, err: 6.88e-01, obj: 1.12e+00, dat: 1.97e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.04e-04
epo: 354, rat: 1.00e-02, err: 6.88e-01, obj: 1.11e+00, dat: 1.54e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.07e-04
epo: 360, rat: 1.00e-02, err: 6.17e-01, obj: 1.11e+00, dat: 1.99e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.08e-04
epo: 367, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.78e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 373, rat: 1.00e-02, err: 7.42e-01, obj: 1.13e+00, dat: 1.77e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.06e-04
epo: 379, rat: 1.00e-02, err: 6.64e-01, obj: 1.10e+00, dat: 2.02e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 385, rat: 1.00e-02, err: 6.64e-01, obj: 1.10e+00, dat: 6.69e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.06e-04
epo: 391, rat: 1.00e-02, err: 6.88e-01, obj: 1.12e+00, dat: 1.65e-02, fpp: 4.17e-01, bpp: 3.70e-01, upd: 9.15e-04
epo: 398, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 1.82e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.06e-04
epo: 404, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.59e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 410, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 1.95e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 416, rat: 1.00e-02, err: 6.17e-01, obj: 1.09e+00, dat: 1.76e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.03e-04
epo: 422, rat: 1.00e-02, err: 6.56e-01, obj: 1.11e+00, dat: 1.54e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.03e-04
epo: 429, rat: 1.00e-02, err: 6.48e-01, obj: 1.13e+00, dat: 1.95e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 435, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 4.13e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 441, rat: 1.00e-02, err: 6.95e-01, obj: 1.12e+00, dat: 1.64e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.11e-04
epo: 447, rat: 1.00e-02, err: 5.94e-01, obj: 1.10e+00, dat: 1.95e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 453, rat: 1.00e-02, err: 6.95e-01, obj: 1.13e+00, dat: 1.59e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.13e-04
epo: 459, rat: 1.00e-02, err: 6.48e-01, obj: 1.09e+00, dat: 1.99e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.02e-04
epo: 466, rat: 1.00e-02, err: 7.03e-01, obj: 1.12e+00, dat: 1.83e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.02e-04
epo: 472, rat: 1.00e-02, err: 6.48e-01, obj: 1.14e+00, dat: 1.61e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 478, rat: 1.00e-02, err: 6.09e-01, obj: 1.11e+00, dat: 1.96e-02, fpp: 4.18e-01, bpp: 3.69e-01, upd: 9.04e-04
epo: 484, rat: 1.00e-02, err: 6.80e-01, obj: 1.11e+00, dat: 1.78e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 490, rat: 1.00e-02, err: 6.64e-01, obj: 1.10e+00, dat: 1.63e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.08e-04
epo: 497, rat: 1.00e-02, err: 6.64e-01, obj: 1.09e+00, dat: 1.94e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.06e-04
epo: 503, rat: 1.00e-02, err: 6.88e-01, obj: 1.12e+00, dat: 1.66e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 509, rat: 1.00e-02, err: 6.41e-01, obj: 1.10e+00, dat: 1.98e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 515, rat: 1.00e-02, err: 6.88e-01, obj: 1.12e+00, dat: 1.78e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.09e-04
epo: 521, rat: 1.00e-02, err: 5.78e-01, obj: 1.09e+00, dat: 1.54e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.06e-04
epo: 528, rat: 1.00e-02, err: 6.41e-01, obj: 1.11e+00, dat: 1.78e-02, fpp: 4.16e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 534, rat: 1.00e-02, err: 7.11e-01, obj: 1.15e+00, dat: 1.85e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.09e-04
epo: 540, rat: 1.00e-02, err: 6.48e-01, obj: 1.12e+00, dat: 1.60e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 546, rat: 1.00e-02, err: 7.03e-01, obj: 1.12e+00, dat: 1.79e-02, fpp: 4.17e-01, bpp: 3.70e-01, upd: 9.09e-04
epo: 552, rat: 1.00e-02, err: 6.64e-01, obj: 1.11e+00, dat: 6.71e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.08e-04
epo: 558, rat: 1.00e-02, err: 7.11e-01, obj: 1.14e+00, dat: 1.65e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.08e-04
