epo: 67, rat: 1.00e-02, err: 6.41e-01, obj: 1.11e+00, dat: 1.37e-01, fpp: 1.64e+00, bpp: 1.51e+00, upd: 4.00e-03, val_err:6.65e-01
epo: 69, rat: 1.00e-02, err: 6.02e-01, obj: 1.08e+00, dat: 1.33e-01, fpp: 1.62e+00, bpp: 1.50e+00, upd: 4.03e-03, val_err:6.54e-01
epo: 71, rat: 1.00e-02, err: 5.86e-01, obj: 1.17e+00, dat: 1.37e-01, fpp: 1.61e+00, bpp: 1.37e+00, upd: 4.20e-03, val_err:6.29e-01
epo: 73, rat: 1.00e-02, err: 6.33e-01, obj: 1.12e+00, dat: 1.50e-01, fpp: 1.48e+00, bpp: 1.51e+00, upd: 3.94e-03, val_err:6.37e-01
epo: 75, rat: 1.00e-02, err: 6.48e-01, obj: 1.16e+00, dat: 2.04e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.01e-03, val_err:6.29e-01
epo: 77, rat: 1.00e-02, err: 6.09e-01, obj: 1.10e+00, dat: 1.38e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 4.01e-03, val_err:5.92e-01
epo: 79, rat: 1.00e-02, err: 6.25e-01, obj: 1.12e+00, dat: 1.33e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 4.03e-03, val_err:6.09e-01
epo: 81, rat: 1.00e-02, err: 7.19e-01, obj: 1.15e+00, dat: 1.28e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 3.95e-03, val_err:6.42e-01
epo: 83, rat: 1.00e-02, err: 6.95e-01, obj: 1.14e+00, dat: 2.10e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 4.04e-03, val_err:6.79e-01
epo: 85, rat: 1.00e-02, err: 5.70e-01, obj: 1.04e+00, dat: 1.88e-01, fpp: 1.48e+00, bpp: 1.50e+00, upd: 4.10e-03, val_err:6.73e-01
epo: 87, rat: 1.00e-02, err: 6.33e-01, obj: 1.12e+00, dat: 6.35e-03, fpp: 1.60e+00, bpp: 1.52e+00, upd: 4.11e-03, val_err:6.85e-01
epo: 89, rat: 1.00e-02, err: 6.09e-01, obj: 1.08e+00, dat: 1.40e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.03e-03, val_err:6.50e-01
epo: 91, rat: 1.00e-02, err: 6.02e-01, obj: 1.10e+00, dat: 1.32e-01, fpp: 1.62e+00, bpp: 1.34e+00, upd: 3.95e-03, val_err:6.24e-01
epo: 93, rat: 1.00e-02, err: 6.72e-01, obj: 1.15e+00, dat: 2.30e-01, fpp: 1.46e+00, bpp: 1.53e+00, upd: 4.03e-03, val_err:6.19e-01
epo: 95, rat: 1.00e-02, err: 7.19e-01, obj: 1.13e+00, dat: 1.36e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 3.97e-03, val_err:6.65e-01
