epo: 34, rat: 1.00e-02, err: 6.48e-01, obj: 1.16e+00, dat: 1.35e-01, fpp: 3.21e+00, bpp: 2.87e+00, upd: 2.84e-02, val_err:6.38e-01
epo: 35, rat: 1.00e-02, err: 6.25e-01, obj: 1.16e+00, dat: 1.35e-01, fpp: 3.22e+00, bpp: 2.86e+00, upd: 7.44e-03, val_err:6.86e-01
epo: 36, rat: 1.00e-02, err: 6.17e-01, obj: 1.15e+00, dat: 1.28e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.60e-03, val_err:6.58e-01
epo: 37, rat: 1.00e-02, err: 6.64e-01, obj: 1.16e+00, dat: 1.40e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.43e-03, val_err:6.68e-01
epo: 38, rat: 1.00e-02, err: 6.02e-01, obj: 1.12e+00, dat: 1.55e-01, fpp: 3.03e+00, bpp: 2.86e+00, upd: 7.41e-03, val_err:6.47e-01
epo: 39, rat: 1.00e-02, err: 6.80e-01, obj: 1.13e+00, dat: 1.40e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.57e-03, val_err:7.21e-01
epo: 40, rat: 1.00e-02, err: 6.88e-01, obj: 1.19e+00, dat: 1.26e-01, fpp: 3.23e+00, bpp: 2.85e+00, upd: 7.48e-03, val_err:6.84e-01
epo: 41, rat: 1.00e-02, err: 6.80e-01, obj: 1.16e+00, dat: 1.38e-01, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.45e-03, val_err:6.49e-01
epo: 42, rat: 1.00e-02, err: 6.02e-01, obj: 1.11e+00, dat: 1.35e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.59e-03, val_err:6.07e-01
epo: 43, rat: 1.00e-02, err: 6.48e-01, obj: 1.14e+00, dat: 1.33e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.48e-03, val_err:6.62e-01
epo: 44, rat: 1.00e-02, err: 6.56e-01, obj: 1.12e+00, dat: 1.29e-01, fpp: 3.05e+00, bpp: 2.86e+00, upd: 7.25e-03, val_err:6.35e-01
epo: 45, rat: 1.00e-02, err: 6.56e-01, obj: 1.17e+00, dat: 1.33e-01, fpp: 3.20e+00, bpp: 2.84e+00, upd: 7.80e-03, val_err:6.10e-01
epo: 46, rat: 1.00e-02, err: 7.34e-01, obj: 1.17e+00, dat: 1.40e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.64e-03, val_err:6.40e-01
epo: 47, rat: 1.00e-02, err: 5.70e-01, obj: 1.10e+00, dat: 1.36e-01, fpp: 3.05e+00, bpp: 3.01e+00, upd: 7.55e-03, val_err:6.68e-01
epo: 48, rat: 1.00e-02, err: 5.78e-01, obj: 1.10e+00, dat: 1.30e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.39e-03, val_err:6.66e-01
epo: 49, rat: 1.00e-02, err: 5.94e-01, obj: 1.09e+00, dat: 1.38e-01, fpp: 3.03e+00, bpp: 3.02e+00, upd: 7.38e-03, val_err:6.20e-01
epo: 50, rat: 1.00e-02, err: 6.56e-01, obj: 1.13e+00, dat: 1.33e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.19e-03, val_err:6.89e-01
epo: 51, rat: 1.00e-02, err: 6.25e-01, obj: 1.15e+00, dat: 1.31e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.57e-03, val_err:7.01e-01
epo: 52, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 1.31e-01, fpp: 3.22e+00, bpp: 2.86e+00, upd: 7.58e-03, val_err:6.78e-01
epo: 53, rat: 1.00e-02, err: 6.17e-01, obj: 1.11e+00, dat: 1.41e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.38e-03, val_err:6.75e-01
epo: 54, rat: 1.00e-02, err: 6.02e-01, obj: 1.11e+00, dat: 1.32e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.43e-03, val_err:6.54e-01
epo: 55, rat: 1.00e-02, err: 7.11e-01, obj: 1.16e+00, dat: 1.36e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.37e-03, val_err:6.56e-01
